Reading in simulation parameters
         44326243 function calls (41267471 primitive calls) in 132.976 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6089984/3045153   14.627    0.000   83.324    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1014900   13.876    0.000  126.035    0.000 AntoniaPractice4.py:37(truncated_lennard_jones)
  1014900   12.802    0.000   75.304    0.000 AntoniaPractice4.py:22(calc_distance)
  1014900   11.024    0.000   27.635    0.000 linalg.py:2316(norm)
  2029802    7.121    0.000   26.411    0.000 fromnumeric.py:55(_wrapfunc)
  4060431    6.643    0.000    6.643    0.000 {built-in method numpy.array}
  2029800    6.517    0.000   61.728    0.000 <__array_function__ internals>:2(round_)
  2029800    6.252    0.000   43.950    0.000 <__array_function__ internals>:2(around)
  1014902    5.859    0.000   14.201    0.000 fromnumeric.py:42(_wrapit)
  2029800    5.769    0.000    5.769    0.000 {method 'round' of 'numpy.ndarray' objects}
  2029800    4.812    0.000   31.223    0.000 fromnumeric.py:3130(around)
  2029800    4.711    0.000   48.662    0.000 fromnumeric.py:3590(round_)
  2029954    4.022    0.000    7.567    0.000 _asarray.py:16(asarray)
  4059600    4.013    0.000    4.013    0.000 fromnumeric.py:3126(_around_dispatcher)
  3063320    3.395    0.000    3.395    0.000 {built-in method builtins.getattr}
       51    3.349    0.066  129.383    2.537 AntoniaPractice4.py:61(calc_sys_potential)
  1014958    3.305    0.000    7.432    0.000 <__array_function__ internals>:2(dot)
  1014900    3.281    0.000   34.535    0.000 <__array_function__ internals>:2(norm)
  2030766    2.060    0.000    2.060    0.000 {built-in method builtins.issubclass}
  1014900    2.013    0.000    3.018    0.000 linalg.py:121(isComplexType)
  1014916    1.847    0.000    1.847    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  1014958    1.082    0.000    1.082    0.000 multiarray.py:707(dot)
  1014900    1.051    0.000    1.051    0.000 linalg.py:2312(_norm_dispatcher)
      748    0.235    0.000    0.298    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      748    0.220    0.000    0.220    0.000 {built-in method marshal.loads}
     2580    0.163    0.000    0.298    0.000 inspect.py:613(cleandoc)
    62/59    0.139    0.002    0.155    0.003 {built-in method _imp.create_dynamic}
     3494    0.119    0.000    0.119    0.000 {built-in method posix.stat}
75181/73597    0.090    0.000    0.094    0.000 {built-in method builtins.len}
2484/2394    0.081    0.000    0.682    0.000 {built-in method builtins.__build_class__}
    48811    0.071    0.000    0.075    0.000 {built-in method builtins.isinstance}
      748    0.063    0.000    0.063    0.000 {method 'read' of '_io.FileIO' objects}
  786/293    0.061    0.000    0.227    0.001 sre_parse.py:475(_parse)
     1396    0.050    0.000    0.277    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    31236    0.042    0.000    0.042    0.000 {method 'append' of 'list' objects}
 1483/275    0.039    0.000    0.116    0.000 sre_compile.py:71(_compile)
      434    0.038    0.000    0.038    0.000 {built-in method builtins.compile}
     7592    0.035    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    23192    0.034    0.000    0.034    0.000 {built-in method builtins.min}
    29599    0.033    0.000    0.033    0.000 {method 'lstrip' of 'str' objects}
     9735    0.031    0.000    0.050    0.000 sre_parse.py:164(__getitem__)
     7592    0.031    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
13243/13154    0.029    0.000    0.060    0.000 {built-in method builtins.hasattr}
     1720    0.028    0.000    0.065    0.000 {built-in method builtins.any}
        1    0.025    0.025    0.025    0.025 {built-in method mkl._py_mkl_service.get_version}
      748    0.025    0.000    0.668    0.001 <frozen importlib._bootstrap_external>:793(get_code)
    21147    0.025    0.000    0.025    0.000 {method 'startswith' of 'str' objects}
13300/13296    0.025    0.000    0.031    0.000 {method 'join' of 'str' objects}
        4    0.024    0.006    0.024    0.006 {method 'read' of '_io.TextIOWrapper' objects}
      789    0.023    0.000    0.080    0.000 inspect.py:2117(_signature_from_function)
    16690    0.022    0.000    0.022    0.000 {method 'rstrip' of 'str' objects}
     1496    0.022    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       95    0.021    0.000    0.021    0.000 {built-in method posix.listdir}
       54    0.020    0.000    0.020    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     7500    0.020    0.000    0.035    0.000 sre_parse.py:254(get)
     1436    0.020    0.000    0.034    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  839/837    0.020    0.000    0.363    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    10711    0.020    0.000    0.030    0.000 mathtext.py:2823(<genexpr>)
     9201    0.019    0.000    0.019    0.000 sre_parse.py:233(__next)
     8024    0.018    0.000    0.018    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
 1753/561    0.018    0.000    0.023    0.000 sre_parse.py:174(getwidth)
      815    0.018    0.000    0.086    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      474    0.017    0.000    0.028    0.000 sre_compile.py:276(_optimize_charset)
        1    0.017    0.017    0.017    0.017 {built-in method _posixsubprocess.fork_exec}
3431/1781    0.016    0.000    1.766    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
   1232/1    0.016    0.000  132.979  132.979 {built-in method builtins.exec}
     2335    0.016    0.000    0.016    0.000 {built-in method __new__ of type object at 0x7febddccc3c0}
     2193    0.015    0.000    0.030    0.000 inspect.py:2467(__init__)
     2423    0.015    0.000    0.445    0.000 re.py:271(_compile)
  854/798    0.015    0.000    0.115    0.000 inspect.py:2198(_signature_from_callable)
    860/6    0.014    0.000    3.471    0.579 <frozen importlib._bootstrap>:978(_find_and_load)
     4034    0.014    0.000    0.017    0.000 sre_parse.py:249(match)
  835/834    0.014    0.000    0.311    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    817/7    0.014    0.000    3.466    0.495 <frozen importlib._bootstrap>:663(_load_unlocked)
     6520    0.013    0.000    0.016    0.000 {built-in method builtins.setattr}
      744    0.013    0.000    0.027    0.000 functools.py:37(update_wrapper)
     9098    0.013    0.000    0.013    0.000 {method 'get' of 'dict' objects}
      901    0.013    0.000    0.024    0.000 inspect.py:2750(__init__)
     5729    0.013    0.000    0.013    0.000 {method 'split' of 'str' objects}
      748    0.012    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        1    0.012    0.012    0.012    0.012 xmlbuilder.py:45(DOMBuilder)
     1561    0.012    0.000    0.012    0.000 sre_parse.py:111(__init__)
  644/275    0.012    0.000    0.235    0.001 sre_parse.py:417(_parse_sub)
     2330    0.012    0.000    0.270    0.000 inspect.py:594(getdoc)
       27    0.012    0.000    0.067    0.002 __init__.py:904(_rc_params_in_file)
    854/6    0.011    0.000    3.471    0.578 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      373    0.010    0.000    0.028    0.000 colors.py:193(_to_rgba_no_colorcycle)
      810    0.010    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     7095    0.010    0.000    0.010    0.000 {method 'rpartition' of 'str' objects}
